Id,Department,Capital,Longitude,Latitude
1,PIURA,PIURA,-5.19449,-80.63282
2,HUANUCO,HUANUCO,-9.93062,-76.24223
3,ANCASH,HUARAZ,-9.52779,-77.52778
4,AREQUIPA,AREQUIPA,-16.39889,-71.535
5,MOQUEGUA,MOQUEGUA,-17.19832,-70.93567
6,APURIMAC,ABANCAY,-13.63389,-72.88139
7,MADRE DE DIOS,PUERTO MALDONADO,-12.59331,-69.18913
8,PASCO,CERRO DE PASCO,-10.66748,-76.25668
9,ICA,ICA,-14.06777,-75.72861
10,LA LIBERTAD,TRUJILLO,-8.11599,-79.02998
11,TUMBES,TUMBES,-3.56694,-80.45153
12,HUANCAVELICA,HUANCAVELICA,-12.78261,-74.97266
13,TACNA,TACNA,-18.01465,-70.25362
14,AMAZONAS,CHACHAPOYAS,-6.23169,-77.86903
15,SAN MARTIN,MOYOBAMBA,-6.03416,-76.97168
16,CAJAMARCA,CAJAMARCA,-7.16378,-78.50027
17,LIMA,LIMA,-12.04318,-77.02824
18,AYACUCHO,AYACUCHO,-13.15878,-74.22321
19,LAMBAYEQUE,CHICLAYO,-6.77137,-79.84088
20,JUNIN,HUANCAYO,-11.15895,-75.99304
21,CUSCO,CUSCO,-13.52264,-71.96734
22,PUNO,PUNO,-15.8422,-70.0199
23,CALLAO,CALLAO,-12.05659,-77.11814
24,LORETO,IQUITOS,-3.74912,-73.25383
25,UCAYALI,PUCALLPA,-8.37915,-74.55387